"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"What Will They Say?","Asian Resource Centre of Croydon",info@arccltd.com,"07471 094 011",beena.ali@arccltd.com,"Mental Health",,,0,17,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/3c428260-0fb7-11ec-beb8-7d938a0f511a/what-will-they-say
"What makes Islamic counselling different?","Asian Resource Centre of Croydon",info@arccltd.com,,lizzie.hewitt@arccltd.com,Counselling,,,0,17,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/601c6580-2101-11ec-b271-49cf95b21b77/what-makes-islamic-counselling-different
"West Croydon, Sunday Hot Meals & Food Parcels for the homeless and those in need (FB)","West Croydon Seventh Day Adventist Church",info@westcroydonsda.uk,,lovethyneighbour@westcroydonsda.uk,"Food Banks",,,2,1033,,,"CR0 2XU","CR0 2XU",1,https://croydon.simplyconnect.uk/activities/1176e160-b22b-11ea-9e2e-71bd9762c733/west-croydon-sunday-hot-meals-food-parcels-for-the-homeless-and-those-in-need-fb
"Wellbeing: Renew 23 Wellbeing Cafe (WB)","Purley Baptist Church",office@purleybaptist.org,"020 8668 0422",office@purleybaptist.org,Wellbeing,"16-21, 21-65, 50+",,0,168,,,"CR8 3AA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/e751a520-b66a-11ec-9798-6ff9b907684e/wellbeing-renew-23-wellbeing-cafe-wb
"Wellbeing You Ltd","Croydon Central East Local Community Partnership",,,,"Carers ",50+,,0,72,,,"CR0 4WF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/18becfe0-029c-11ed-ae05-7555d5c56797/wellbeing-you-ltd
"Welfare Telephone Support Service for BAME prisoner families (HMP Wandsworth)","Corona Kids CIC",info@coronakids.co.uk,"07510 446784 or 07724 772615",info@coronakids.co.uk,Families,,,0,308,,,"SE17 2DJ","SE17 2DJ",1,https://croydon.simplyconnect.uk/activities/e8bd8e40-25a2-11eb-b591-e397f9c8260a/welfare-telephone-support-service-for-bame-prisoner-families-hmp-wandsworth
"Welfare Benefits","South West London Law Centres",enquiries@swllc.org,02087672777,nicoletta.crivellaro@swllc.org,"Financial (debt advice or grants)","16-21, 21-65, 50+",,0,333,,,"CR0 1QQ","CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/f613b590-442f-11ea-9880-a3a6e2b1a0f8/welfare-benefits
"Welfare and Rights Support for adults with a learning disability and their carers","Croydon Mencap",info@croydonmencap.org.uk,"07718 494 473",lloyd@croydonmencap.org.uk,"Advocacy, Advocacy, Advocacy","16-21, 21-65, 50+",,0,450,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/f5687ce0-442f-11ea-ac1c-f53056b0b60b/welfare-and-rights-support-for-adults-with-a-learning-disability-and-their-carers
"Welderlies Pancake Warmers","Wellbeing You Ltd",swk@wellbeingyou.org,07870508790,swk@wellbeingyou.org,Wellbeing,"16-21, 21-65, 50+, Under 16",,0,67,,,"CR0 7EN","CR0 4WF",1,https://croydon.simplyconnect.uk/activities/84b666e0-93f4-11ec-84c7-6b4b1b7f284f/welderlies-pancake-warmers
"Weekly Food Events","Good Food Matters",enquiries@goodfoodmatters.org.uk,"01689 487605",hello@goodfoodmatters.org.uk,"Health Improvement & Management",,,0,411,,,"CR0 0PN","CR0 0PN",1,https://croydon.simplyconnect.uk/activities/c7301380-08a8-11eb-9368-f3782318d6aa/weekly-food-events
"Weekly Dance Therapy and Community Chats","Asian Resource Centre of Croydon",info@arccltd.com,"07861 664311",nayim.chowdhury@arccltd.com,Wellbeing,21-65,,0,33,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/3e295230-ccfd-11eb-aaea-81e6018476d6/weekly-dance-therapy-and-community-chats
"WEEKEND INTERVENTIONAL MEETINGS","ALL SOULS GATHERING",Info@allsoulsgathering.com,07578548748,s.tetteh@allsoulsgathering.com,"Faith Groups","16-21, Under 16",,0,37,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/bdb18880-64dc-11ed-a932-397306737295/weekend-interventional-meetings
"Wednesday West Croydon Methodist Church Drop In - Hot food & Food Parcel  (FB)","Croydon Methodist Circuit",revstephenday@croydonmeth.org,"020 8774 9356",dropinwcmc@gmail.com,"Food Banks",,,0,357,,,"CR0 2RF","CR0 2RF",1,https://croydon.simplyconnect.uk/activities/815635d0-6271-11ec-ae7d-3f9cdf400099/wednesday-west-croydon-methodist-church-drop-in-hot-food-food-parcel-fb
"Wednesday Soup Kitchen - Croydon Mosque","SWAN Foodbank South London",Info@swanlondon.org,"+44 (0) 203 490 0690",Info@swanlondon.org,"Food Banks",,,0,165,,,"CR7 6AR","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/36f4a0e0-5131-11ec-b934-b1135d28c335/wednesday-soup-kitchen-croydon-mosque
"Wednesday food parcels for rough sleepers and those in need in Croydon (FB)","St Andrews Church (South Croydon)",enquiries.standrewschurch@outlook.com,"078 6178 9383",cakran@gmail.com,"Food Banks",,,0,138,,,"CR0 1AG","CR0 1AG",1,https://croydon.simplyconnect.uk/activities/1f3f22c0-623f-11ec-b9b0-6f3e8c45a5aa/wednesday-food-parcels-for-rough-sleepers-and-those-in-need-in-croydon-fb
"Wednesday Drop-in for people with Dementia and their carers","Christ Church Gipsy Hill",christchurch@gipsyhill.org.uk,"020 8761 5927",kim@ageuklambeth.org,Wellbeing,,,0,28,,,"SE19 1DP","SE19 1DP",1,https://croydon.simplyconnect.uk/activities/849bebd0-6ff4-11ed-a6be-73cb512d80d4/wednesday-drop-in-for-people-with-dementia-and-their-carers
"Wednesday Creative Dance Sessions","South London Inclusive Dance Experience",info@slidedance.org,07754639009,info@slidedance.org,Wellbeing,"16-21, 21-65, 50+",,0,58,,,"CR2 7DP","CR2 7DP",1,https://croydon.simplyconnect.uk/activities/41f0eb60-38f4-11ed-8e31-37f84c248024/wednesday-creative-dance-sessions
"Wednesday and Saturday Food Deliveries in Purley","Purley Food Hub",purleyfoodhub@gmail.com,"07546 635295",purleyfoodhub@gmail.com,"Food Banks",,,0,416,,,"CR8 2LN","CR8 2LN",1,https://croydon.simplyconnect.uk/activities/ef14ba90-c4f0-11ea-8cea-9d869f2afa88/wednesday-and-saturday-food-deliveries-in-purley
"Wednesday 10am Holy Communion Service","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Faith Groups",,,0,99,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/d2b03260-ab65-11ec-b36b-25ef09e8f1fd/wednesday-10am-holy-communion-service
"Webinars for Parent Carers","Carers Information Service",info@carersinfo.org.uk,,,"Carers ",,,0,74,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/119ba9a0-17dc-11ed-b351-9bf097634f80/webinars-for-parent-carers
"Webinar with Healthwise: Physical Activity Referral Scheme (PARS)","Asian Resource Centre of Croydon",info@arccltd.com,+447859737072,lizzie.hewitt@arccltd.com,"Health Improvement & Management",,,0,71,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/7aeedf20-eb15-11ec-983a-c50a4ad5d50d/webinar-with-healthwise-physical-activity-referral-scheme-pars
"WE STAP PROJECT",We-Stap,info@we-stap.com,07376258936,info@we-stap.com,"Other - Advice, Support & Self Help","16-21, 21-65, 50+",,0,284,,,"SW16 4LF","SW16 4LF",1,https://croydon.simplyconnect.uk/activities/f49f8da0-442f-11ea-b6aa-f3fad7aeb31f/we-stap-project
"We Stand Together Refugee Multisports Afternoon","Croydon Voluntary Action - Active Communities Hub",cva@cvalive.org.uk,07894165734,christine.double@cvalive.org.uk,"Exercise & Outdoor Activities",,,0,46,,,"CR0 1TY","CR0 1TY",1,https://croydon.simplyconnect.uk/activities/15ebd060-7490-11ed-86c2-3dc9d13a1b14/we-stand-together-refugee-multisports-afternoon
"We Stand Together Multisports","Croydon Voluntary Action",cva@cvalive.org.uk,,christine.double@cvalive.org.uk,"Other - Social Groups & Activities",,,0,248,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/04164790-1175-11ec-9c71-4f3be69479e2/we-stand-together-multisports
"Wayside Nursery","Playplace Innov8 CIC",info@playplace.org,"07747 827842",info@playplace.org,"Education ",0-5,,0,207,,,"CR0 9DX","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/f416f880-442f-11ea-b60d-3f1702ed2fb4/wayside-nursery
"WARM-SPACE: Weds, Thurs, Friday & Sunday - Upper Norwood","Salvation Army Christian Community Church Upper Norwood & Crystal Palace",Philip.Layton@salvationarmy.org.uk,,Philip.Layton@salvationarmy.org.uk,"Community Centres",,,0,33,,,"SE19 3AF","SE19 3AF",1,https://croydon.simplyconnect.uk/activities/ab161360-725d-11ed-be20-bf5d474f7837/warm-space-weds-thurs-friday-sunday-upper-norwood
"WARM-SPACE: Wednesday & Friday - Shirley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 7884 5170",shirleylibrary@croydon.gov.uk,"Community Centres",,,0,4,,,"CR0 8BH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/dd65f590-7fd0-11ed-a332-5955efe4c788/warm-space-wednesday-friday-shirley-library
"WARM-SPACE: Wednesday - West Croydon","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,"Community Centres",,,0,75,,,"CR0 2RF","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/073e1a80-60e4-11ed-a873-d7927c7c00b0/warm-space-wednesday-west-croydon
"WARM-SPACE: Wednesday - Kenley","All Saints Church, Kenley",,"020 8660 3251",office@saintb.org.uk,"Community Centres",,,0,8,,,"CR8 5DW","CR8 5DJ",1,https://croydon.simplyconnect.uk/activities/da35b080-7b9b-11ed-95c2-f95005b00ce8/warm-space-wednesday-kenley
"WARM-SPACE: Wednesday - Broad Green West Croydon","Christ Church Drop In",cccroydon.parishchurch@outlook.com,"020 8649 7620",normawap@aol.com,"Other - Social Groups & Activities",50+,,0,33,,,"CR0 3LJ","CR0 3LJ",1,https://croydon.simplyconnect.uk/activities/05143010-70a0-11ed-a267-77211b117145/warm-space-wednesday-broad-green-west-croydon
"WARM-SPACE: Wednesday - Addiscombe","St Mildred's Parish Office",parishoffice@stmildredschurch.org.uk,"020 8655 1434",parishoffice@stmildredschurch.org.uk,"Community Centres",,,0,40,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/fdad7e80-6a63-11ed-a1a5-1d86e360ad63/warm-space-wednesday-addiscombe
"WARM-SPACE: Warm Work Space - Monday, Tuesday & Friday - South Croydon","Emmanuel Church",office@emmanuelcroydon.org.uk,"020 868 86676",office@emmanuelcroydon.org.uk,"Community Centres",21-65,,0,17,,,"CR2 7AQ","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/02ae7e90-70e2-11ed-b7d1-553e655a887a/warm-space-warm-work-space-monday-tuesday-friday-south-croydon
"WARM-SPACE: Tuesday to Saturday - South Norwood","South Norwood Community Kitchen",,,,"Community Centres",,,0,13,,,"SE25 4UF","SE25 4PQ",1,https://croydon.simplyconnect.uk/activities/3e0c62e0-7c64-11ed-955d-f1619197e9a6/warm-space-tuesday-to-saturday-south-norwood
"WARM-SPACE: Tuesday and Thursday Thornton Heath","His Grace Evangelical Outreach",info@hisgrace-evangelicaloutreach.co.uk,"07946 546507",info@hisgrace-evangelicaloutreach.co.uk,"Community Centres",50+,,0,93,,,"CR7 8JF","CR7 8JF",1,https://croydon.simplyconnect.uk/activities/f271be10-2eb9-11ed-a474-4f879c8d28b5/warm-space-tuesday-and-thursday-thornton-heath
"WARM-SPACE: Tuesday and Saturday - Purley","Purley United Reformed Church",minister@purleyurc.org.uk,,caretaking@purleyurc.org.uk,"Community Centres",,,0,7,,,"CR8 2LN","CR8 2LN",1,https://croydon.simplyconnect.uk/activities/1d6002f0-7bb5-11ed-b9d7-838aa6119332/warm-space-tuesday-and-saturday-purley
"WARM-SPACE: Tuesday & Wednesday -  New Addington","New Addington Baptist Church",info@newaddingtonbaptistchurch.co.uk,,,"Community Centres",,,0,4,,,"CR0 0EE","CR0 0EE",1,https://croydon.simplyconnect.uk/activities/d3106f40-7bac-11ed-b17b-bfc50440c3ca/warm-space-tuesday-wednesday-new-addington
"WARM-SPACE: Tuesday & Thursday – Lower Addiscombe","Ashburton Hall and Park",ashburtonhall@gll.org,,ashburtonhall@gll.org,"Community Centres",,,0,39,,,"CR0 6NN","CR0 6NN",1,https://croydon.simplyconnect.uk/activities/e213e230-7498-11ed-9dbc-43beffed5bee/warm-space-tuesday-thursday-lower-addiscombe
"WARM-SPACE: Tuesday & Thursday - Purley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,10,,,"CR8 3YH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/5d9298c0-7bb0-11ed-8456-a74e21819279/warm-space-tuesday-thursday-purley-library
"WARM-SPACE: Tuesday & Friday - South Norwood Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 7884 5195",southnorwoodlibrary@croydon.gov.uk,,,,0,4,,,"SE25 5AA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/06f5fad0-7fd2-11ed-8ff1-037a0009698c/warm-space-tuesday-friday-south-norwood-library
"WARM-SPACE: Tuesday & Friday - Bradmore Green Coulsdon","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,4,,,"CR5 1PE","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/10a69c20-7b9e-11ed-af3f-4ffc9abec66e/warm-space-tuesday-friday-bradmore-green-coulsdon
"WARM-SPACE: Tuesday – Thornton Health","St Andrews Church Thornton Heath",office@saintandrewschurch.co.uk,"020 8684 3013",thorntonheath@rcaos.org.uk,"Community Centres",,,0,62,,,"CR7 7RD","CR7 7RD",1,https://croydon.simplyconnect.uk/activities/bff89750-70d5-11ed-8bb7-f3210d3590f9/warm-space-tuesday-thornton-health
"WARM-SPACE: Tuesday - Shirley","MHA The Wilderness",thewilderness@mha.org.uk,07858376314,thewilderness@mha.org.uk,"Community Centres",,,0,4,,,"CR0 5AQ","CR0 5AQ",1,https://croydon.simplyconnect.uk/activities/96829b90-8049-11ed-b218-5b1504077997/warm-space-tuesday-shirley
"WARM-SPACE: Tuesday - Selsdon","St Francis Monks Hill",revpeterw@googlemail.com,,,"Community Centres",,,0,12,,,"CR2 8HP","CR2 8AH",1,https://croydon.simplyconnect.uk/activities/a1e61c00-7c65-11ed-9917-3f85b05968d6/warm-space-tuesday-selsdon
"WARM-SPACE: Tuesday - Purley","All Saints Church, Kenley",,"020 8660 3251",office@saintb.org.uk,"Community Centres",,,0,13,,,"CR8 2HR","CR8 5DJ",1,https://croydon.simplyconnect.uk/activities/d96ddf80-7c77-11ed-a6b2-6d30119b1ec2/warm-space-tuesday-purley
"WARM-SPACE: Tuesday - Gyspy Hill","Christ Church Gipsy Hill",christchurch@gipsyhill.org.uk,"020 8761 5927",christchurch@gipsyhill.org.uk,"Community Centres",,,0,20,,,"SE19 1DP","SE19 1DP",1,https://croydon.simplyconnect.uk/activities/bb8c5d40-6fcd-11ed-b085-83ca45791a65/warm-space-tuesday-gyspy-hill
"WARM-SPACE: Tuesday - Addington","Church of St Mary the Blessed Virgin, Addington",stmaryaddington@btinternet.com,"01689 842167",stmaryaddington@btinternet.com,"Community Centres",,,0,6,,,"CR0 5AS","CR0 5AS",1,https://croydon.simplyconnect.uk/activities/4752a970-7fc7-11ed-97ec-afdfb3a5813b/warm-space-tuesday-addington
"WARM-SPACE: Tuesday -  Reeves Corner, Croydon","Salvation Army (Croydon)",croydoncitadel@salvationarmy.org.uk,"020 8680 9924",croydoncitadel@salvationarmy.org.uk,"Community Centres",,,0,47,,,"CR0 1XY","CR0 1XY",1,https://croydon.simplyconnect.uk/activities/7f1af5b0-6a70-11ed-a464-c368f0057282/warm-space-tuesday-reeves-corner-croydon
"WARM-SPACE: Thursday - West Croydon","St Michael and All Angels Church",michaels.church@outlook.com,,michaels.church@outlook.com,,,,0,29,,,"CR0 1UA","CR0 1UA",1,https://croydon.simplyconnect.uk/activities/567ae360-7543-11ed-b5f0-49cde49560f3/warm-space-thursday-west-croydon
"WARM-SPACE: Thursday - South Croydon","St Paul's United Reformed Church",secretary@stpaulsurc.org.uk,07971068887,secretary@stpaulsurc.org.uk,"Community Centres",,,0,872,,,"CR2 7HF","CR2 7HF",1,https://croydon.simplyconnect.uk/activities/95e57a80-4edc-11ed-87e6-79d3d78e710e/warm-space-thursday-south-croydon
"WARM-SPACE: Thursday - New Addington","St Edward King And Confessor Church New Addington",stedwardnewaddington@gmail.com,,,"Community Centres",,,0,15,,,"CR0 0DL","CR0 0DL",1,https://croydon.simplyconnect.uk/activities/22f0b180-7c75-11ed-8494-85aecbb78f86/warm-space-thursday-new-addington
"WARM-SPACE: Thursday - Kenley","All Saints Church, Kenley",,"020 8660 3251",office@saintb.org.uk,"Community Centres",,,0,20,,,"CR8 5AB","CR8 5DJ",1,https://croydon.simplyconnect.uk/activities/5ffc81f0-7c78-11ed-8d8f-df690fc32d83/warm-space-thursday-kenley
"WARM-SPACE: South Croydon","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,office@emmanuelcroydon.org.uk,"Community Centres",,,0,47,,,"CR2 7AF","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/b9309390-6c3d-11ed-bbcd-892eb73f6359/warm-space-south-croydon
"WARM-SPACE: Monday, Wednesday, Friday – Purley Way, CR0 4FE","Waddon Leisure Centre",waddon@gll.org,"0208 760 0657",waddon@gll.org,"Community Centres",,,0,11,,,"CR0 4FE","CR0 4FE",1,https://croydon.simplyconnect.uk/activities/fd430570-7499-11ed-9d94-93807bdaea85/warm-space-monday-wednesday-friday-purley-way-cr0-4fe
"WARM-SPACE: Monday, Wednesday & Saturday - Thornton Heath Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 7884 5185",thorntonheathlibrary@croydon.gov.uk,"Community Centres",,,0,5,,,"CR7 7JH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/c4d4bee0-7fd2-11ed-b7a4-c1a2f27fff18/warm-space-monday-wednesday-saturday-thornton-heath-library
"WARM-SPACE: Monday, Wednesday & Saturday - Selsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,16,,,"CR2 8LA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/875ff620-7bb6-11ed-9d6d-55a6e5504025/warm-space-monday-wednesday-saturday-selsdon-library
"WARM-SPACE: Monday, Wednesday & Friday - Sanderstead Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,9,,,"CR2 0HQ","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/df5209a0-7bb5-11ed-b6bf-9762d2ce4cc2/warm-space-monday-wednesday-friday-sanderstead-library
"WARM-SPACE: Monday, Tuesday & Friday - Norbury Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,9,,,"SW16 4UW","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/4b3a4110-7bae-11ed-8b41-b3a29701ea97/warm-space-monday-tuesday-friday-norbury-library
"WARM-SPACE: Monday, Thursday & Saturday - Ashburton Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,5,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/5ce47020-7b9d-11ed-abf7-c54181ffab36/warm-space-monday-thursday-saturday-ashburton-library
"WARM-SPACE: Monday, Thursday & Friday - New Addington Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,9,,,"CR0 0JD","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/a9317fc0-7bad-11ed-880b-6fd6cbae8a4e/warm-space-monday-thursday-friday-new-addington-library
"WARM-SPACE: Monday & Thursday - Broad Green Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,4,,,"CR0 3HH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/091476b0-7b9f-11ed-bd63-e1ac993ccd0b/warm-space-monday-thursday-broad-green-library
"WARM-SPACE: Friday 16 December  Only - Thornton Heath","Music Relief Foundation",info@music-relief.org,"020 8683 2922",info@music-relief.org,"Community Centres",,,0,11,,,"CR7 8LF","CR7 8LF",1,https://croydon.simplyconnect.uk/activities/3716c380-74ba-11ed-969b-6fc79c796eda/warm-space-friday-16-december-only-thornton-heath
"WARM-SPACE: Friday - South Croydon","Emmanuel Church",office@emmanuelcroydon.org.uk,07773044282,carol.trower@emmanuelcroydon.org.uk,"Community Centres","16-21, 21-65, 50+",,0,23,,,"CR2 7AQ","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/a2eb9200-70e0-11ed-a0d1-ad1c136915ab/warm-space-friday-south-croydon
"WARM-SPACE: for the over 50's","Phoenix Community",,,,"Community Centres",,,0,5,,,"SE19 3AB","SE19 3RB",1,https://croydon.simplyconnect.uk/activities/39ed2e00-8055-11ed-89a8-5b1b72b8e926/warm-space-for-the-over-50s
"WARM-SPACE:  Tuesday - Thornton Heath","Crystal Palace Football Club",customer.services@cpfc.co.uk,"0208 786 6000",customer.services@cpfc.co.uk,"Community Centres",,,0,49,,,"SE25 6PU","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/fee4b770-6a56-11ed-99b9-fbd9ea678324/warm-space-tuesday-thornton-heath
"WARM-SPACE:  Monday & Thursday - Coulsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,,,"Community Centres",,,0,4,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/8c317d70-7ba8-11ed-b54b-b1cd9b5ccba2/warm-space-monday-thursday-coulsdon-library
