Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
WARM-SPACE: Tuesday & Thursday - Purley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,46,,,CR8 3YH,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/5d9298c0-7bb0-11ed-8456-a74e21819279/warm-space-tuesday-thursday-purley-library
WARM-SPACE: Tuesday & Friday - South Norwood Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5195,southnorwoodlibrary@croydon.gov.uk,,,,0,82,,,SE25 5AA,CR9 1ET,1,12/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/06f5fad0-7fd2-11ed-8ff1-037a0009698c/warm-space-tuesday-friday-south-norwood-library
WARM-SPACE: Tuesday & Friday - Bradmore Green Coulsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,39,,,CR5 1PE,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/10a69c20-7b9e-11ed-af3f-4ffc9abec66e/warm-space-tuesday-friday-bradmore-green-coulsdon
WARM-SPACE: Tuesday – Thornton Health,St Andrews Church Thornton Heath,office@saintandrewschurch.co.uk,020 8684 3013,thorntonheath@rcaos.org.uk,Community Centres,,,0,134,,,CR7 7RD,CR7 7RD,1,11/30/2022 0:00,,https://croydon.simplyconnect.uk/activities/bff89750-70d5-11ed-8bb7-f3210d3590f9/warm-space-tuesday-thornton-health
WARM-SPACE: Tuesday - Shirley,MHA The Wilderness,thewilderness@mha.org.uk,7858376314,thewilderness@mha.org.uk,Community Centres,,,0,57,,,CR0 5AQ,CR0 5AQ,1,12/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/96829b90-8049-11ed-b218-5b1504077997/warm-space-tuesday-shirley
WARM-SPACE: Tuesday - Selsdon,St Francis Monks Hill,revpeterw@googlemail.com,,,Community Centres,,,0,48,,,CR2 8HP,CR2 8AH,1,12/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/a1e61c00-7c65-11ed-9917-3f85b05968d6/warm-space-tuesday-selsdon
WARM-SPACE: Tuesday - Purley (Toddlers and Families),"All Saints Church, Kenley",,020 8660 3251,office@saintb.org.uk,Community Centres,,,0,74,,,CR8 2HR,CR8 5DJ,1,12/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/d96ddf80-7c77-11ed-a6b2-6d30119b1ec2/warm-space-tuesday-purley-toddlers-and-families
WARM-SPACE: Tuesday - Addington,"Church of St Mary the Blessed Virgin, Addington",stmaryaddington@btinternet.com,01689 842167,stmaryaddington@btinternet.com,Community Centres,,,0,34,,,CR0 5AS,CR0 5AS,1,12/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/4752a970-7fc7-11ed-97ec-afdfb3a5813b/warm-space-tuesday-addington
"WARM-SPACE: Tuesday -  Reeves Corner, Croydon",Salvation Army (Croydon),croydoncitadel@salvationarmy.org.uk,020 8680 9924,croydoncitadel@salvationarmy.org.uk,Community Centres,,,0,95,,,CR0 1XY,CR0 1XY,1,11/22/2022 0:00,,https://croydon.simplyconnect.uk/activities/7f1af5b0-6a70-11ed-a464-c368f0057282/warm-space-tuesday-reeves-corner-croydon
WARM-SPACE: Thursday - New Addington,St Edward King And Confessor Church New Addington,stedwardnewaddington@gmail.com,,,Community Centres,,,0,65,,,CR0 0DL,CR0 0DL,1,12/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/22f0b180-7c75-11ed-8494-85aecbb78f86/warm-space-thursday-new-addington
WARM-SPACE: Thursday - Kenley (Toddlers & Familes),"All Saints Church, Kenley",,020 8660 3251,office@saintb.org.uk,Community Centres,,,0,84,,,CR8 5AB,CR8 5DJ,1,12/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/5ffc81f0-7c78-11ed-8d8f-df690fc32d83/warm-space-thursday-kenley-toddlers-familes
WARM-SPACE: Saturday - Thornton Heath,Food Cycle - Thornton Heath Project,hello@foodcycle.org.uk,0207 729 2775,,Community Centres,,,0,61,,,SE25 6RD,SE25 6RD,1,02/05/2023 00:00,04/02/2023 00:00,https://croydon.simplyconnect.uk/activities/d5115130-a85f-11ed-87bd-e1429cb93e59/warm-space-saturday-thornton-heath
WARM-SPACE: Saturday - Thornton Heath,Food Cycle - Thornton Heath Project,hello@foodcycle.org.uk,0207 729 2775,hello@foodcycle.org.uk,Community Centres,,,0,99,,,SE25 6RD,SE25 6RD,1,02/12/2023 00:00,,https://croydon.simplyconnect.uk/activities/d4a868c0-ac4b-11ed-93bb-f177a36e1a93/warm-space-saturday-thornton-heath
"WARM-SPACE: Monday, Wednesday, Friday – Purley Way, CR0 4FE",Waddon Leisure Centre,waddon@gll.org,0208 760 0657,waddon@gll.org,Community Centres,,,0,27,,,CR0 4FE,CR0 4FE,1,12/05/2022 00:00,04/03/2023 00:00,https://croydon.simplyconnect.uk/activities/fd430570-7499-11ed-9d94-93807bdaea85/warm-space-monday-wednesday-friday-purley-way-cr0-4fe
"WARM-SPACE: Monday, Wednesday & Saturday - Thornton Heath Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5185,thorntonheathlibrary@croydon.gov.uk,Community Centres,,,0,72,,,CR7 7JH,CR9 1ET,1,12/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/c4d4bee0-7fd2-11ed-b7a4-c1a2f27fff18/warm-space-monday-wednesday-saturday-thornton-heath-library
"WARM-SPACE: Monday, Wednesday & Saturday - Selsdon Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,58,,,CR2 8LA,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/875ff620-7bb6-11ed-9d6d-55a6e5504025/warm-space-monday-wednesday-saturday-selsdon-library
"WARM-SPACE: Monday, Wednesday & Friday - Sanderstead Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,52,,,CR2 0HQ,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/df5209a0-7bb5-11ed-b6bf-9762d2ce4cc2/warm-space-monday-wednesday-friday-sanderstead-library
"WARM-SPACE: Monday, Tuesday, Wednesday, Friday & Saturday - Croydon Central Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 3700 1034,croydoncentrallibrary@croydon.gov.uk,Community Centres,,,0,50,,,CR9 1ET,CR9 1ET,1,01/05/2023 00:00,,https://croydon.simplyconnect.uk/activities/baf82b10-8cdb-11ed-949e-214d4dd3e204/warm-space-monday-tuesday-wednesday-friday-saturday-croydon-central-library
"WARM-SPACE: Monday, Tuesday & Friday - Norbury Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,47,,,SW16 4UW,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/4b3a4110-7bae-11ed-8b41-b3a29701ea97/warm-space-monday-tuesday-friday-norbury-library
"WARM-SPACE: Monday, Thursday & Saturday - Ashburton Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,41,,,CR9 7AL,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/5ce47020-7b9d-11ed-abf7-c54181ffab36/warm-space-monday-thursday-saturday-ashburton-library
"WARM-SPACE: Monday, Thursday & Friday - New Addington Library",Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,50,,,CR0 0JD,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/a9317fc0-7bad-11ed-880b-6fd6cbae8a4e/warm-space-monday-thursday-friday-new-addington-library
WARM-SPACE: Monday & Thursdays - Upper Norwood (over 50's),Phoenix Community,,020 8771 6023,sesame9992003@yahoo.com,Community Centres,,,0,104,,,SE19 3AB,SE19 3RB,1,12/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/39ed2e00-8055-11ed-89a8-5b1b72b8e926/warm-space-monday-thursdays-upper-norwood-over-50s
WARM-SPACE: Monday & Thursday - Broad Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,71,,,CR0 3HH,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/091476b0-7b9f-11ed-bd63-e1ac993ccd0b/warm-space-monday-thursday-broad-green-library
WARM-SPACE: Monday & Thursday -  Waddon,"St George, Waddon",,07792 409952,,Neighbourhood & Communities,,,0,33,,,CR0 4EZ,CR0 4EZ,1,1/19/2023 0:00,,https://croydon.simplyconnect.uk/activities/85b591b0-97e6-11ed-ac36-19f2b781ff19/warm-space-monday-thursday-waddon
WARM-SPACE:  Monday & Thursday - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,,,Community Centres,,,0,49,,,CR5 2NH,CR9 1ET,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/8c317d70-7ba8-11ed-b54b-b1cd9b5ccba2/warm-space-monday-thursday-coulsdon-library
WallyWalks,Wandle Valley Regional Park Trust,Livingwandle@wandsworth.gov.uk,,info@wandlevalleypark.co.uk,Exercise & Outdoor Activities,"21-65, 50+",,0,243,,,SM6 0PH,SM4 5JD,1,,,https://croydon.simplyconnect.uk/activities/f37a3a50-442f-11ea-903e-af2ea768d3a2/wallywalks
Volunteering Opportunities,"Croydon Voluntary Action, Volunteer Centre",volunteer@cvalive.org.uk,0208 253 7070,volunteer@cvalive.org.uk,Volunteering,"16-21, 21-65, 50+",,1,884,,,CR0 1TY,CR0 1TY,1,03/03/2020 00:00,12/31/2023 0:00,https://croydon.simplyconnect.uk/activities/f1c06590-442f-11ea-825d-099a5a42fcac/volunteering-opportunities
Volunteering Buddies Project for adults with a learning disability living in Croydon,Croydon Mencap,info@croydonmencap.org.uk,07923 173 005,lameez@croydonmencap.org.uk,Volunteering,"21-65, 50+",,3,298,,,CR7 7HU,CR7 7HU,1,9/28/2021 0:00,,https://croydon.simplyconnect.uk/activities/e77d6810-2a93-11ec-ae3b-c3b5ffe48498/volunteering-buddies-project-for-adults-with-a-learning-disability-living-in-croydon
Volunteer Youth Work,Play Place Limited,info@playplace.org,4.42E+11,annette.adams@playplace.org,Volunteering,21-65,,0,59,,,CR0 9DX,CR0 9DX,1,01/04/2023 00:00,,https://croydon.simplyconnect.uk/activities/eb8577c0-91c3-11ed-860c-c731a3c5fe30/volunteer-youth-work
Volunteer Court Support,Coroners Courts Support Service,helpline@ccss.org.uk,3001112141,gwen.wild@ccss.org.uk,Bereavement,,,0,,,,SW1V 1RB,SW1V 1RB,1,07/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/256e76e0-fe0d-11ec-b1e6-6bd408b427d2/volunteer-court-support
Vocational Services,South London and Maudsley NHS Trust,croydoniapt@slam.nhs.uk,2032284040,croydoniapt@slam.nhs.uk,Counselling,"16-21, 21-65, 50+",,0,233,,,BR3 3BX,BR3 3BA,1,,,https://croydon.simplyconnect.uk/activities/f0742c10-442f-11ea-913d-b324ab3767b3/vocational-services
Vocational Driving Assessments,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,"16-21, 21-65",,0,282,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/efe363c0-442f-11ea-afb9-75b14918dd25/vocational-driving-assessments
VITAYU CAFE,Croydon South West Local Community Partnership,,,,Other - Social Groups & Activities,,,0,135,,,CR2 7AF,CR0 2TB,1,08/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/f53d1c60-1984-11ed-bf5f-65916469f15d/vitayu-cafe
Upahaar School of Dance,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,+44 (0)20 8661 2865,info@upahaar.co.uk,,,,0,223,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/b485bda0-a6a5-11ec-956e-452f551a6f68/upahaar-school-of-dance
Unlocking Potential,Progression And Development Ltd,padacademy@live.co.uk,7860121333,padacademy@live.co.uk,"Employment, Skills & Enterprise ",21-65,,0,22,,,CR0 3BJ,CR0 3BJ,1,04/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/81056380-ae2e-11ec-b9c3-038e959e1f22/unlocking-potential
UNDER ONE SKY,Under One Sky,underoneskystory@gmail.com,,UNDERONESKYSTORY@GMAIL.COM,Wellbeing,Under 16,,0,104,,,SE25 6TW,CR0 5NG,1,,,https://croydon.simplyconnect.uk/activities/eea1edf0-442f-11ea-a7e0-cf61d66ae0a9/under-one-sky
Under 7's Craftytime - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,coulsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,187,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e3c7a5e0-442f-11ea-a369-4347bd4b306a/under-7s-craftytime-coulsdon-library
Under 7's Book Buddies - Shirley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1019,marcina.brown@croydon.gov.uk,Family Activities ,Under 16,,0,180,,,CR0 8BH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e2c50880-442f-11ea-92f7-495d921083cb/under-7s-book-buddies-shirley-library
Under 7's Book Buddies - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,ashburtonlibrary@croydon.gov.uk,Family Activities ,"0-5, Under 16",,0,176,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e23336c0-442f-11ea-945d-47c33f80d2dc/under-7s-book-buddies-ashburton-library
Under 5's Toddler Time - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,ashburtonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,231,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/ec87ec40-442f-11ea-927f-1be144c184b9/under-5s-toddler-time-ashburton-library
Under 5's Story Time - Selsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,2078845190,selsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,398,,,CR2 8LA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/ec06e4b0-442f-11ea-877f-bdccc16efb37/under-5s-story-time-selsdon-library
Under 5's Story Time - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1003,susan.andrew@croydon.gov.uk,Family Activities ,0-5,,0,205,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/eb824d60-442f-11ea-a1bc-13a419e96439/under-5s-story-time-coulsdon-library
Under 5's Story Time - Central Library Croydon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5140,croydoncentrallibrary@croydon.gov.uk,Family Activities ,0-5,,0,212,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/eb009930-442f-11ea-957c-3bc98192c570/under-5s-story-time-central-library-croydon
Under 5's Story Time - Broad Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1005,Anthony.saridakis@croydon.gov.uk,Family Activities ,0-5,,0,211,,,CR0 3HH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/ea7d90f0-442f-11ea-b904-3bd0dfd9bfc1/under-5s-story-time-broad-green-library
Under 5's Rhymetime - Thornton Heath Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1023,anne.pereira@croydon.gov.uk,Family Activities ,0-5,,1,390,,,CR7 7JB,CR9 1ET,1,10/26/2022 0:00,,https://croydon.simplyconnect.uk/activities/e9ff2e20-442f-11ea-b291-e187c9b32454/under-5s-rhymetime-thornton-heath-library
Under 5's Rhymetime - South Norwood Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1021,southnorwoodlibrary@croydon.gov.uk,Family Activities ,0-5,,0,458,,,SE25 5AA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e97ea750-442f-11ea-afa3-e18abb7cc6c3/under-5s-rhymetime-south-norwood-library
Under 5's Rhymetime - Shirley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1019,shirleylibrary@croydon.gov.uk,Family Activities ,0-5,,0,223,,,CR0 8BH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e8f7aff0-442f-11ea-b166-f104da2e379d/under-5s-rhymetime-shirley-library
Under 5's Rhymetime - Selsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,2078845190,selsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,3,309,,,CR2 8LA,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e8739700-442f-11ea-af1e-e513ac0e01a8/under-5s-rhymetime-selsdon-library
Under 5's Rhymetime - Sanderstead Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1015,Bruno.ouvrard@croydon.gov.uk,Family Activities ,0-5,,0,448,,,CR2 0HL,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e7ee4a20-442f-11ea-9b5f-29dadeb22dc7/under-5s-rhymetime-sanderstead-library
Under 5's Rhymetime - Purley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1013,Dabinder.chaudhri@croydon.gov.uk,Family Activities ,0-5,,2,608,,,CR8 3YH,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e766d450-442f-11ea-88a0-d7fa8ab2545d/under-5s-rhymetime-purley-library
Under 5's Rhymetime - New Addington Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1009,newaddingtonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,209,,,CR0 0JD,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e6e23460-442f-11ea-a1d3-af41be4ea3f8/under-5s-rhymetime-new-addington-library
Under 5's Rhymetime - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,coulsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,5,742,,,CR5 2NH,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e65f83b0-442f-11ea-a7de-275d4f34cb45/under-5s-rhymetime-coulsdon-library
Under 5's Rhymetime - Central Library Croydon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1034 or 0203 700 1038,croydoncentrallibrary@croydon.gov.uk,Family Activities ,0-5,,1,959,,,CR9 1ET,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e5d3dae0-442f-11ea-9539-dddf5f9d201d/under-5s-rhymetime-central-library-croydon
Under 5's Rhymetime - Broad Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1005,Anthony.saridakis@croydon.gov.uk,Family Activities ,0-5,,0,225,,,CR0 3HH,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e551e4c0-442f-11ea-9672-1b93b17b4190/under-5s-rhymetime-broad-green-library
Under 5's Rhymetime - Bradmore Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,2037001003,bradmoregreenlibrary@croydon.gov.uk,Family Activities ,0-5,,0,232,,,CR5 1PE,CR9 1ET,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/e4c94d00-442f-11ea-9674-9f565f4ceacc/under-5s-rhymetime-bradmore-green-library
Under 5's Rhymetime - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5175,ashburtonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,290,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e447dca0-442f-11ea-a585-df5bfcb0f7fe/under-5s-rhymetime-ashburton-library
UNACC Lunch Club & Social Centre for over 50's,Upper Norwood Association For Community Care (UNACC),info@unacc.org.uk,020 8771 6886,info@unacc.org.uk,Day Centres,50+,,0,767,,,SE25 4DX,SE25 4DX,1,,,https://croydon.simplyconnect.uk/activities/e070f600-442f-11ea-be80-935b8b7bd972/unacc-lunch-club-social-centre-for-over-50s
UNACC (Upper Norwood Association for Community Care),Croydon Voluntary Action - Waterside Centre,bookings@cvalive.org.uk,,,Social Groups,50+,,0,51,,,SE25 4DX,SE25 4DX,1,11/23/2022 0:00,,https://croydon.simplyconnect.uk/activities/aa828fa0-6b29-11ed-9d15-bbf9b6933937/unacc-upper-norwood-association-for-community-care
UKAWA - UK Asian Women's Association,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,07889 719853,tarlika22@gmail.com,Other - Social Groups & Activities,,,0,205,,,CR0 5NQ,CR0 5NQ,1,3/26/2022 0:00,,https://croydon.simplyconnect.uk/activities/72ecf820-a6a3-11ec-a51b-3146f114a482/ukawa-uk-asian-womens-association
U3A - Various Groups,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Social Groups,,,0,227,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/dab46be0-a6a3-11ec-9c71-73c898318194/u3a-various-groups
Tuesday Safe Space Cafe Thornton Heath,His Grace Evangelical Outreach,info@hisgrace-evangelicaloutreach.co.uk,07946 546507,info@hisgrace-evangelicaloutreach.co.uk,Mental Health,,,0,138,,,CR7 8JG,CR7 8JF,1,09/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/7471c120-2eb7-11ed-8ede-69ba2f53ca60/tuesday-safe-space-cafe-thornton-heath
Tuesday After School Club - Gypsy Hill,Christ Church Gipsy Hill,christchurch@gipsyhill.org.uk,020 8761 5927,luke@gipsyhill.org.uk,Families,,,0,79,,,SE19 1DP,SE19 1DP,1,11/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/76d6df70-6ff3-11ed-9cea-23d0cf9ab1e3/tuesday-after-school-club-gypsy-hill
Tuesday 'Moving into Wellbeing' gentle exercise group  -  Gypsy Hill,Christ Church Gipsy Hill,christchurch@gipsyhill.org.uk,020 8761 5927,christchurch@gipsyhill.org.uk,Wellbeing,,,0,39,,,SE19 1DP,SE19 1DP,1,11/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/488ce850-6ff2-11ed-860a-03b91c9cc48e/tuesday-moving-into-wellbeing-gentle-exercise-group-gypsy-hill
Tuesday 'Guild',St Paul's United Reformed Church,secretary@stpaulsurc.org.uk,7971068887,secretary@stpaulsurc.org.uk,Other - Social Groups & Activities,50+,,0,334,,,CR2 7HF,CR2 7HF,1,1/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/c2a0db40-8362-11ec-b1fa-3903b56ab866/tuesday-guild
Tuesday - Open Door - Community Drop In - Gypsy Hill,Christ Church Gipsy Hill,christchurch@gipsyhill.org.uk,020 8761 5927,christchurch@gipsyhill.org.uk,Neighbourhood & Communities,,,0,53,,,SE19 1DP,SE19 1DP,1,11/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/d0360730-6ff2-11ed-add9-872664326fe9/tuesday-open-door-community-drop-in-gypsy-hill
Tryb4uFly,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,"16-21, Under 16",,0,346,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/ded37f60-442f-11ea-9fe0-cfc46b251e17/tryb4ufly
